[2026-01-17 23:26:47] [INFO    ] discord.client: logging in using static token
[2026-01-17 23:26:47] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-01-17 23:26:47] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-01-17 23:26:47] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1462313157442932841', 'username': 'Nerdy Boi', 'avatar': None, 'discriminator': '4968', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-01-17 23:26:47] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-01-17 23:26:47] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-01-17 23:26:47] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1462313157442932841', 'name': 'Nerdy Boi', 'icon': None, 'description': 'Bot with OpenAi', 'type': None, 'bot': {'id': '1462313157442932841', 'username': 'Nerdy Boi', 'avatar': None, 'discriminator': '4968', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'ccaa26c00a156e94e0692bfc5c1c7ac4abcc61fbe036472c73bd74e67b2d933a', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '703141119554355210', 'username': 'justalovelyface', 'avatar': '70c15a07b93c0d3196796e6834def956', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 15592433, 'global_name': 'HappyDude', 'avatar_decoration_data': None, 'collectibles': {'nameplate': {'sku_id': '1382845914225442886', 'asset': 'nameplates/nameplates_v3/bonsai/', 'label': 'COLLECTIBLES_NAMEPLATES_VOL_3_BONSAI_A11Y', 'palette': 'bubble_gum'}}, 'display_name_styles': None, 'banner_color': '#edebf1', 'clan': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}, 'primary_guild': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-01-17 23:26:47] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-01-17 23:26:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-5h77",{"micros":0.0}]']}}
[2026-01-17 23:26:47] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-01-17 23:26:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-17 23:26:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Nerdy Boi', 'primary_guild': None, 'mfa_enabled': False, 'id': '1462313157442932841', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4968', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '38f09fcd51477070294f37e22a9c5cdd', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '900951899832979456'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['santa-clara', 'us-west', 'oregon', 'seattle', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1462313157442932841', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-5h77",{"micros":82831,"calls":["id_created",{"micros":633,"calls":[]},"session_lookup_time",{"micros":201,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-135",{"micros":80765,"calls":["start_session",{"micros":74293,"calls":["discord-api-rpc-77b6bfd686-pjbt9",{"micros":42608,"calls":["get_user",{"micros":4791},"get_guilds",{"micros":2129},"send_scheduled_deletion_message",{"micros":12},"guild_join_requests",{"micros":488},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":519},"apex_experiments",{"micros":24753},"user_activities",{"micros":4},"played_application_ids",{"micros":3},"linked_users",{"micros":2},"ad_personalization_toggles_disabled",{"micros":2},"regional_feature_config",{"micros":2}]}]},"starting_guild_connect",{"micros":67,"calls":[]},"presence_started",{"micros":251,"calls":[]},"guilds_started",{"micros":81,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":6043,"calls":[]},"connect_finished",{"micros":6057,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-01-17 23:26:48] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-17 23:26:48] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 38f09fcd51477070294f37e22a9c5cdd).
[2026-01-17 23:26:48] [DEBUG   ] discord.client: Dispatching event connect
